Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Jack Clarke,eng ENG,Ipswich Town,"FW,MF",24-157,28.0,11.0,1033.0,0.0,4.0,2.0,0.0,1.0,2.0,30.0,33.0,47.0,0.0,0.35,0.09,0.17,N/a,N/a,N/a,N/a,14.3,0.17,0.0,19.4,342.0,76.0,4206.0,86.7,85.6,23.0,24.0,6.0,0.0,33.0,39.0,3.4,5.0,0.44,28.0,17.0,31.0,14.0,6.0,0.0,6.0,7.0,476.0,22.0,114.0,195.0,181.0,32.0,38.0,55.3,31.6,264.0,966.0,30.0,18.0,9.0,20.0,16.0,287.0,47.0,14.0,20.0,3.0,13.0,65.0,7.0,33.3,72,€19.4M
Jack Harrison,eng ENG,Everton,FW,28-160,30.0,22.0,1887.0,1.0,0.0,0.0,0.0,3.3,3.7,62.0,45.0,116.0,0.05,0.0,0.16,0.18,N/a,N/a,N/a,N/a,22.2,0.29,0.04,16.3,592.0,63.2,5976.0,81.4,68.6,32.0,26.0,24.0,10.0,45.0,53.0,2.53,4.0,0.19,30.0,21.0,40.0,26.0,18.0,2.0,16.0,9.0,862.0,31.0,144.0,304.0,421.0,62.0,71.0,31.0,57.7,473.0,1439.0,62.0,32.0,14.0,50.0,37.0,556.0,116.0,13.0,26.0,4.0,115.0,65.0,4.0,13.3,72,€17.7M
Jack Hinshelwood,eng ENG,Brighton,"DF,MF",20-018,22.0,20.0,1676.0,2.0,2.0,5.0,0.0,1.5,1.3,16.0,60.0,46.0,0.11,0.11,0.08,0.07,N/a,N/a,N/a,N/a,42.9,0.32,0.14,14.3,959.0,83.4,12164.0,91.2,84.4,15.0,33.0,9.0,2.0,60.0,33.0,1.77,3.0,0.16,26.0,18.0,26.0,14.0,8.0,3.0,5.0,14.0,1100.0,49.0,307.0,505.0,293.0,26.0,9.0,11.1,77.8,539.0,1084.0,16.0,19.0,1.0,16.0,2.0,686.0,46.0,15.0,6.0,0.0,26.0,55.0,19.0,57.6,72,€9.2M
Jack Stephens,eng ENG,Southampton,DF,31-092,16.0,14.0,1164.0,1.0,0.0,2.0,2.0,0.6,0.2,13.0,50.0,2.0,0.08,0.0,0.04,0.01,N/a,N/a,N/a,N/a,50.0,0.15,0.25,11.0,817.0,91.9,12975.0,92.9,94.3,3.0,46.0,5.0,0.0,50.0,12.0,0.93,0.0,0.0,31.0,18.0,26.0,8.0,14.0,9.0,5.0,11.0,935.0,106.0,387.0,458.0,94.0,11.0,4.0,0.0,100.0,520.0,1127.0,13.0,11.0,1.0,2.0,3.0,655.0,2.0,12.0,4.0,1.0,1.0,41.0,6.0,42.9,72,€1.4M
Jacob Greaves,eng ENG,Ipswich Town,DF,24-229,21.0,21.0,1845.0,1.0,0.0,5.0,0.0,1.2,0.0,6.0,51.0,7.0,0.05,0.0,0.06,0.0,N/a,N/a,N/a,N/a,50.0,0.2,0.13,8.3,915.0,86.4,12967.0,93.1,90.1,2.0,59.0,1.0,0.0,51.0,13.0,0.63,0.0,0.0,31.0,14.0,26.0,38.0,36.0,24.0,12.0,18.0,1141.0,244.0,619.0,455.0,71.0,15.0,3.0,66.7,33.3,524.0,925.0,6.0,9.0,0.0,7.0,2.0,704.0,7.0,11.0,18.0,1.0,0.0,43.0,58.0,60.4,72,€25.1M
Jacob Murphy,eng ENG,Newcastle Utd,FW,30-064,31.0,27.0,2084.0,8.0,11.0,3.0,0.0,5.6,8.1,69.0,63.0,210.0,0.35,0.48,0.24,0.35,N/a,N/a,N/a,N/a,36.6,0.65,0.2,18.1,869.0,68.2,8970.0,84.1,66.9,38.0,46.0,34.0,14.0,63.0,73.0,3.16,14.0,0.61,22.0,15.0,30.0,15.0,31.0,0.0,31.0,11.0,1112.0,20.0,158.0,409.0,556.0,83.0,62.0,48.4,46.8,652.0,2055.0,69.0,31.0,24.0,30.0,33.0,802.0,210.0,11.0,14.0,3.0,108.0,88.0,4.0,21.1,72,€17.9M
Jacob Ramsey,eng ENG,Aston Villa,"FW,MF",23-336,26.0,18.0,1485.0,1.0,3.0,2.0,0.0,1.4,2.1,57.0,64.0,103.0,0.06,0.18,0.09,0.12,N/a,N/a,N/a,N/a,23.5,0.24,0.06,16.1,550.0,85.5,6225.0,92.0,84.2,18.0,30.0,20.0,1.0,64.0,49.0,2.97,8.0,0.48,29.0,15.0,20.0,10.0,21.0,3.0,18.0,7.0,712.0,12.0,134.0,252.0,338.0,66.0,42.0,57.1,23.8,466.0,1598.0,57.0,31.0,19.0,39.0,21.0,542.0,103.0,12.0,24.0,5.0,10.0,74.0,6.0,37.5,72,€45.8M
Jadon Sancho,eng ENG,Chelsea,FW,25-035,28.0,18.0,1668.0,3.0,4.0,1.0,0.0,2.0,3.4,96.0,86.0,214.0,0.16,0.22,0.11,0.18,N/a,N/a,N/a,N/a,30.4,0.38,0.13,15.3,756.0,82.5,8433.0,89.2,84.0,35.0,25.0,46.0,0.0,86.0,65.0,3.51,10.0,0.54,10.0,6.0,12.0,10.0,9.0,0.0,9.0,2.0,915.0,11.0,114.0,267.0,544.0,116.0,95.0,47.4,40.0,619.0,2337.0,96.0,32.0,55.0,29.0,21.0,715.0,214.0,6.0,11.0,5.0,23.0,97.0,5.0,33.3,72,€37.7M
Jake O'Brien,ie IRL,Everton,DF,23-349,17.0,14.0,1301.0,2.0,0.0,4.0,0.0,0.7,0.6,7.0,41.0,24.0,0.14,0.0,0.05,0.04,N/a,N/a,N/a,N/a,60.0,0.21,0.4,11.5,597.0,77.2,8367.0,88.5,78.5,6.0,37.0,8.0,5.0,41.0,15.0,1.04,0.0,0.0,20.0,14.0,22.0,23.0,15.0,4.0,11.0,4.0,745.0,61.0,302.0,313.0,133.0,18.0,10.0,40.0,50.0,315.0,648.0,7.0,6.0,2.0,5.0,5.0,386.0,24.0,11.0,4.0,3.0,17.0,50.0,33.0,58.9,72,€19.7M
James Garner,eng ENG,Everton,"MF,DF",24-047,17.0,13.0,1234.0,0.0,1.0,3.0,0.0,0.3,1.3,10.0,38.0,22.0,0.0,0.07,0.02,0.09,N/a,N/a,N/a,N/a,28.6,0.15,0.0,24.1,596.0,72.8,7598.0,83.6,82.3,11.0,39.0,5.0,2.0,38.0,30.0,2.19,4.0,0.29,37.0,23.0,33.0,8.0,14.0,3.0,11.0,16.0,734.0,32.0,187.0,360.0,194.0,9.0,16.0,37.5,62.5,336.0,578.0,10.0,13.0,1.0,11.0,7.0,386.0,22.0,16.0,12.0,0.0,50.0,60.0,10.0,55.6,72,€23.2M
James Justin,eng ENG,Leicester City,DF,27-065,32.0,30.0,2579.0,2.0,1.0,5.0,0.0,1.5,0.6,37.0,86.0,92.0,0.07,0.03,0.05,0.02,N/a,N/a,N/a,N/a,25.0,0.21,0.08,16.0,1355.0,77.6,16221.0,86.6,84.1,13.0,71.0,21.0,7.0,86.0,31.0,1.08,1.0,0.03,48.0,29.0,49.0,46.0,39.0,13.0,26.0,42.0,1714.0,131.0,594.0,768.0,362.0,37.0,29.0,31.0,44.8,770.0,1559.0,37.0,25.0,4.0,31.0,13.0,951.0,92.0,21.0,34.0,2.0,53.0,75.0,58.0,55.8,72,€17M
James Maddison,eng ENG,Tottenham,MF,28-157,31.0,21.0,1809.0,9.0,7.0,6.0,0.0,5.8,4.2,45.0,164.0,95.0,0.45,0.35,0.29,0.21,N/a,N/a,N/a,N/a,43.6,0.85,0.23,16.7,1256.0,81.3,16664.0,90.9,86.2,41.0,123.0,32.0,5.0,164.0,95.0,4.73,18.0,0.9,31.0,19.0,29.0,7.0,15.0,4.0,11.0,12.0,1464.0,26.0,210.0,691.0,576.0,77.0,77.0,42.9,44.2,1026.0,2279.0,45.0,39.0,20.0,23.0,25.0,1125.0,95.0,32.0,64.0,4.0,98.0,76.0,5.0,41.7,72,€58.1M
James Tarkowski,eng ENG,Everton,DF,32-161,33.0,33.0,2922.0,1.0,1.0,6.0,0.0,1.3,2.9,9.0,75.0,3.0,0.03,0.03,0.04,0.09,N/a,N/a,N/a,N/a,26.7,0.12,0.07,8.4,1290.0,81.0,22119.0,84.5,91.9,16.0,83.0,11.0,0.0,75.0,38.0,1.17,4.0,0.12,64.0,40.0,39.0,33.0,57.0,42.0,15.0,41.0,1706.0,355.0,974.0,635.0,106.0,57.0,7.0,71.4,28.6,727.0,1943.0,9.0,10.0,0.0,13.0,7.0,927.0,3.0,35.0,28.0,2.0,1.0,98.0,102.0,75.6,72,€11.8M
Jamie Vardy,eng ENG,Leicester City,FW,38-108,32.0,32.0,2571.0,7.0,3.0,5.0,0.0,10.2,2.9,27.0,20.0,108.0,0.25,0.11,0.36,0.1,N/a,N/a,N/a,N/a,40.0,0.7,0.12,12.2,356.0,66.9,3417.0,74.3,77.0,18.0,10.0,9.0,1.0,20.0,42.0,1.47,9.0,0.31,18.0,13.0,13.0,51.0,8.0,4.0,4.0,3.0,541.0,28.0,54.0,252.0,240.0,101.0,21.0,42.9,47.6,257.0,629.0,27.0,11.0,14.0,33.0,12.0,350.0,108.0,21.0,20.0,25.0,11.0,34.0,49.0,49.0,72,€1M
Jan Bednarek,pl POL,Southampton,DF,29-017,28.0,28.0,2351.0,2.0,0.0,7.0,0.0,0.7,0.5,4.0,58.0,2.0,0.08,0.0,0.02,0.02,N/a,N/a,N/a,N/a,40.0,0.08,0.4,16.0,1616.0,92.5,26431.0,95.3,94.5,5.0,71.0,1.0,0.0,58.0,16.0,0.61,0.0,0.0,35.0,18.0,30.0,36.0,43.0,32.0,11.0,53.0,1953.0,359.0,1028.0,892.0,40.0,15.0,3.0,100.0,0.0,996.0,1646.0,4.0,5.0,1.0,9.0,3.0,1249.0,2.0,31.0,12.0,0.0,1.0,102.0,68.0,65.4,72,€12.9M
Jan Paul van Hecke,nl NED,Brighton,DF,24-325,30.0,29.0,2598.0,1.0,1.0,8.0,1.0,1.3,1.5,53.0,209.0,5.0,0.03,0.03,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,2041.0,87.9,35321.0,93.0,93.0,13.0,202.0,16.0,4.0,209.0,48.0,1.66,3.0,0.1,39.0,25.0,37.0,48.0,32.0,19.0,13.0,23.0,2316.0,246.0,987.0,1196.0,153.0,30.0,10.0,40.0,40.0,1536.0,6643.0,53.0,41.0,0.0,12.0,7.0,1628.0,5.0,22.0,22.0,0.0,11.0,119.0,73.0,60.3,72,€42.4M
Jannik Vestergaard,dk DEN,Leicester City,DF,32-269,18.0,16.0,1391.0,0.0,0.0,5.0,0.0,0.1,0.1,3.0,32.0,2.0,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,66.7,0.13,0.0,9.7,959.0,90.7,14697.0,95.0,93.7,3.0,34.0,1.0,0.0,32.0,7.0,0.45,0.0,0.0,22.0,10.0,15.0,19.0,21.0,14.0,7.0,16.0,1092.0,196.0,572.0,497.0,28.0,10.0,4.0,100.0,0.0,672.0,1458.0,3.0,3.0,0.0,2.0,0.0,757.0,2.0,12.0,4.0,0.0,0.0,46.0,26.0,57.8,72,€2M
Jarrad Branthwaite,eng ENG,Everton,DF,22-306,27.0,25.0,2258.0,0.0,1.0,4.0,0.0,1.1,0.6,9.0,57.0,2.0,0.0,0.04,0.04,0.02,N/a,N/a,N/a,N/a,37.5,0.12,0.0,8.2,1043.0,81.6,16684.0,89.7,90.3,2.0,75.0,2.0,0.0,57.0,12.0,0.48,2.0,0.08,35.0,20.0,26.0,36.0,29.0,21.0,8.0,23.0,1345.0,196.0,713.0,581.0,58.0,22.0,5.0,60.0,20.0,643.0,2143.0,9.0,13.0,2.0,8.0,3.0,774.0,2.0,10.0,15.0,1.0,3.0,80.0,50.0,58.1,72,€32.2M
Jarrod Bowen,eng ENG,West Ham,"FW,MF",28-130,30.0,30.0,2631.0,9.0,7.0,1.0,0.0,7.4,6.3,97.0,85.0,183.0,0.31,0.24,0.25,0.22,N/a,N/a,N/a,N/a,40.0,1.03,0.11,17.8,710.0,71.8,8497.0,83.9,76.4,49.0,37.0,42.0,7.0,85.0,102.0,3.49,13.0,0.44,36.0,23.0,37.0,44.0,21.0,3.0,18.0,16.0,1098.0,25.0,125.0,401.0,596.0,150.0,115.0,34.8,56.5,651.0,2295.0,97.0,43.0,55.0,67.0,68.0,718.0,183.0,18.0,47.0,9.0,100.0,120.0,11.0,20.0,72,€48.1M
Jean-Clair Todibo,fr FRA,West Ham,DF,25-120,23.0,16.0,1485.0,0.0,0.0,2.0,0.0,0.2,0.0,9.0,28.0,5.0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.6,866.0,87.9,13519.0,93.3,94.8,2.0,40.0,1.0,0.0,28.0,5.0,0.3,0.0,0.0,36.0,22.0,30.0,23.0,23.0,12.0,11.0,20.0,1044.0,142.0,583.0,432.0,38.0,9.0,14.0,50.0,50.0,604.0,1354.0,9.0,5.0,0.0,9.0,8.0,714.0,5.0,10.0,5.0,0.0,2.0,62.0,23.0,50.0,72,€36M
Jean-Philippe Mateta,fr FRA,Crystal Palace,FW,27-305,33.0,30.0,2442.0,14.0,2.0,2.0,0.0,12.1,3.1,37.0,46.0,114.0,0.52,0.07,0.45,0.11,N/a,N/a,N/a,N/a,41.7,0.92,0.2,15.6,414.0,65.0,3557.0,76.4,62.5,27.0,31.0,15.0,2.0,46.0,56.0,2.06,8.0,0.29,17.0,12.0,16.0,95.0,16.0,3.0,13.0,2.0,680.0,24.0,57.0,327.0,310.0,86.0,42.0,42.9,47.6,363.0,894.0,37.0,20.0,8.0,67.0,41.0,502.0,114.0,27.0,26.0,17.0,24.0,60.0,59.0,38.3,72,€31.7M
Jean-Ricner Bellegarde,fr FRA,Wolves,"MF,FW",26-306,31.0,18.0,1486.0,2.0,6.0,3.0,0.0,1.3,3.6,47.0,36.0,81.0,0.12,0.36,0.08,0.22,N/a,N/a,N/a,N/a,25.0,0.3,0.1,21.7,509.0,79.2,6227.0,89.4,80.9,26.0,27.0,15.0,7.0,36.0,53.0,3.21,10.0,0.61,33.0,19.0,18.0,18.0,18.0,3.0,15.0,10.0,724.0,23.0,126.0,328.0,286.0,41.0,58.0,22.4,53.4,446.0,1375.0,47.0,34.0,10.0,36.0,23.0,500.0,81.0,29.0,39.0,1.0,38.0,55.0,8.0,30.8,72,€21.3M
Jefferson Lerma,co COL,Crystal Palace,"MF,DF",30-186,29.0,23.0,2030.0,0.0,1.0,8.0,0.0,1.0,1.5,11.0,86.0,24.0,0.0,0.04,0.04,0.06,N/a,N/a,N/a,N/a,29.2,0.31,0.0,19.4,1026.0,75.5,13637.0,86.8,81.3,9.0,83.0,17.0,2.0,86.0,42.0,1.86,3.0,0.13,30.0,15.0,33.0,38.0,32.0,15.0,17.0,36.0,1269.0,95.0,403.0,653.0,223.0,26.0,12.0,50.0,33.3,596.0,1004.0,11.0,10.0,0.0,14.0,15.0,745.0,24.0,34.0,35.0,0.0,11.0,139.0,39.0,50.6,72,€13.6M
Jens Cajuste,se SWE,Ipswich Town,MF,25-262,26.0,23.0,1774.0,1.0,0.0,2.0,0.0,0.5,0.6,23.0,46.0,16.0,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.05,0.1,21.3,694.0,82.4,9440.0,88.8,85.7,11.0,45.0,5.0,1.0,46.0,30.0,1.52,1.0,0.05,39.0,19.0,47.0,20.0,24.0,9.0,15.0,25.0,904.0,59.0,261.0,475.0,182.0,11.0,45.0,53.3,33.3,420.0,1175.0,23.0,21.0,3.0,21.0,14.0,521.0,16.0,21.0,21.0,0.0,9.0,98.0,12.0,37.5,72,€15.5M
Jeremy Doku,be BEL,Manchester City,"FW,MF",22-337,25.0,14.0,1307.0,3.0,5.0,1.0,0.0,1.0,3.9,176.0,62.0,235.0,0.21,0.34,0.07,0.27,N/a,N/a,N/a,N/a,37.5,0.62,0.13,18.2,650.0,79.5,7264.0,86.8,81.9,25.0,10.0,41.0,5.0,62.0,63.0,4.34,12.0,0.83,28.0,19.0,14.0,10.0,10.0,1.0,9.0,4.0,878.0,4.0,42.0,205.0,654.0,122.0,175.0,56.0,28.0,678.0,4066.0,176.0,83.0,80.0,51.0,50.0,729.0,235.0,7.0,30.0,5.0,48.0,52.0,0.0,0.0,72,€66.2M
Jesper Lindstrøm,dk DEN,Everton,FW,25-059,25.0,15.0,1239.0,0.0,1.0,2.0,0.0,2.1,2.0,30.0,25.0,81.0,0.0,0.07,0.15,0.15,N/a,N/a,N/a,N/a,35.7,0.73,0.0,21.0,428.0,69.4,4593.0,86.2,65.7,19.0,18.0,12.0,7.0,25.0,46.0,3.35,1.0,0.07,45.0,25.0,55.0,12.0,15.0,3.0,12.0,12.0,625.0,22.0,127.0,206.0,303.0,40.0,43.0,18.6,72.1,302.0,780.0,30.0,19.0,7.0,31.0,24.0,347.0,81.0,15.0,10.0,1.0,71.0,70.0,6.0,33.3,72,€24.4M
Joachim Andersen,dk DEN,Fulham,DF,28-333,25.0,25.0,2223.0,0.0,0.0,5.0,1.0,0.9,0.3,13.0,103.0,2.0,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,25.0,0.16,0.0,15.7,1739.0,82.9,31915.0,91.3,93.6,3.0,169.0,6.0,3.0,103.0,30.0,1.22,2.0,0.08,24.0,17.0,20.0,35.0,31.0,25.0,6.0,30.0,2023.0,285.0,1061.0,885.0,89.0,19.0,6.0,66.7,0.0,1179.0,2869.0,13.0,12.0,1.0,5.0,3.0,1398.0,2.0,15.0,17.0,0.0,10.0,104.0,62.0,63.9,72,€31.4M
Joe Aribo,ng NGA,Southampton,"MF,DF",28-282,30.0,20.0,1909.0,3.0,0.0,1.0,0.0,2.7,1.6,35.0,71.0,64.0,0.14,0.0,0.13,0.07,N/a,N/a,N/a,N/a,41.2,0.33,0.18,14.0,992.0,88.5,13041.0,91.3,90.9,16.0,50.0,4.0,1.0,71.0,37.0,1.75,1.0,0.05,44.0,30.0,34.0,21.0,24.0,9.0,15.0,20.0,1203.0,46.0,288.0,632.0,294.0,44.0,46.0,39.1,47.8,708.0,1923.0,35.0,28.0,12.0,25.0,16.0,879.0,64.0,20.0,28.0,1.0,10.0,110.0,25.0,54.3,72,€6.9M
Joe Willock,eng ENG,Newcastle Utd,"MF,FW",25-252,29.0,10.0,953.0,0.0,2.0,2.0,0.0,1.5,1.9,34.0,35.0,76.0,0.0,0.19,0.14,0.18,N/a,N/a,N/a,N/a,18.8,0.28,0.0,15.7,320.0,81.9,3708.0,88.6,86.0,21.0,23.0,8.0,0.0,35.0,41.0,3.88,4.0,0.38,25.0,14.0,28.0,13.0,22.0,5.0,17.0,5.0,472.0,12.0,70.0,198.0,212.0,47.0,32.0,34.4,46.9,282.0,892.0,34.0,23.0,12.0,33.0,22.0,327.0,76.0,20.0,12.0,3.0,16.0,35.0,5.0,27.8,72,€35.8M
Joelinton,br BRA,Newcastle Utd,"MF,FW",28-258,29.0,29.0,2393.0,4.0,3.0,10.0,0.0,3.9,2.5,40.0,116.0,110.0,0.15,0.11,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,1043.0,82.7,12199.0,87.7,86.6,23.0,80.0,17.0,2.0,116.0,61.0,2.29,9.0,0.34,57.0,35.0,44.0,46.0,37.0,7.0,30.0,23.0,1360.0,67.0,256.0,670.0,448.0,83.0,46.0,32.6,60.9,729.0,1786.0,40.0,26.0,9.0,39.0,53.0,934.0,110.0,58.0,35.0,7.0,16.0,149.0,59.0,56.2,72,€47.5M
John McGinn,sct SCO,Aston Villa,"MF,FW",30-193,30.0,24.0,1992.0,1.0,3.0,7.0,0.0,2.9,3.4,30.0,90.0,70.0,0.05,0.14,0.13,0.15,N/a,N/a,N/a,N/a,19.2,0.23,0.04,16.2,767.0,82.8,10675.0,91.6,86.5,27.0,60.0,27.0,7.0,90.0,66.0,2.98,6.0,0.27,31.0,22.0,26.0,10.0,20.0,2.0,18.0,14.0,965.0,27.0,154.0,514.0,307.0,52.0,43.0,39.5,27.9,530.0,1142.0,30.0,16.0,6.0,33.0,25.0,677.0,70.0,43.0,63.0,3.0,50.0,92.0,15.0,60.0,72,€22.5M
Jordan Ayew,gh GHA,Leicester City,"FW,MF",33-230,26.0,15.0,1356.0,4.0,0.0,5.0,0.0,2.9,0.8,42.0,33.0,75.0,0.27,0.0,0.19,0.06,N/a,N/a,N/a,N/a,26.9,0.46,0.12,18.4,461.0,72.5,4951.0,86.3,73.1,13.0,21.0,12.0,7.0,33.0,32.0,2.12,1.0,0.07,24.0,13.0,19.0,54.0,15.0,0.0,15.0,12.0,677.0,18.0,91.0,341.0,267.0,49.0,56.0,39.3,50.0,410.0,1261.0,42.0,30.0,9.0,51.0,32.0,454.0,75.0,28.0,45.0,5.0,52.0,84.0,33.0,37.9,72,€4.2M
Jordan Pickford,eng ENG,Everton,GK,31-053,34.0,34.0,3060.0,0.0,1.0,7.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.03,0.0,0.01,1.21,71.5,29.4,100.0,N/a,0.0,N/a,N/a,1418.0,66.2,29916.0,99.3,98.3,2.0,66.0,8.0,0.0,0.0,12.0,0.35,2.0,0.06,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1518.0,989.0,1451.0,68.0,0.0,0.0,0.0,N/a,N/a,861.0,3099.0,0.0,0.0,0.0,2.0,0.0,756.0,0.0,0.0,6.0,0.0,0.0,31.0,4.0,80.0,71,€22.6M
Joshua Zirkzee,nl NED,Manchester Utd,"FW,MF",23-342,32.0,14.0,1402.0,3.0,1.0,2.0,0.0,4.8,1.5,14.0,44.0,69.0,0.19,0.06,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,410.0,71.2,3600.0,78.1,74.4,12.0,26.0,6.0,0.0,44.0,31.0,1.99,3.0,0.19,14.0,8.0,10.0,54.0,15.0,4.0,11.0,6.0,587.0,16.0,71.0,303.0,219.0,56.0,35.0,31.4,68.6,327.0,523.0,14.0,21.0,4.0,41.0,30.0,418.0,69.0,9.0,13.0,3.0,4.0,57.0,21.0,28.0,72,€43.7M
José Sá,pt POR,Wolves,GK,32-102,26.0,26.0,2340.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.01,1.69,62.3,26.9,33.3,N/a,0.0,N/a,N/a,813.0,63.5,13520.0,99.0,97.3,2.0,17.0,1.0,0.0,2.0,4.0,0.15,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,870.0,690.0,862.0,9.0,0.0,0.0,7.0,100.0,0.0,537.0,2083.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,4.0,8.0,0.0,0.0,29.0,8.0,100.0,73,€8.5M
João Gomes,br BRA,Wolves,MF,24-076,32.0,32.0,2691.0,3.0,1.0,10.0,1.0,2.7,1.1,53.0,146.0,66.0,0.1,0.03,0.09,0.04,N/a,N/a,N/a,N/a,21.2,0.23,0.09,18.1,1450.0,85.0,17654.0,90.9,85.8,21.0,106.0,22.0,1.0,146.0,61.0,2.04,3.0,0.1,99.0,58.0,97.0,24.0,39.0,3.0,36.0,25.0,1789.0,55.0,380.0,987.0,448.0,41.0,56.0,46.4,42.9,935.0,2578.0,53.0,50.0,6.0,36.0,49.0,1200.0,66.0,65.0,39.0,1.0,27.0,174.0,9.0,27.3,72,€51.1M
João Pedro,br BRA,Brighton,"FW,MF",23-215,27.0,23.0,1948.0,10.0,6.0,4.0,1.0,8.9,5.0,66.0,78.0,128.0,0.46,0.28,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,661.0,72.9,6847.0,78.7,75.1,30.0,42.0,36.0,5.0,78.0,72.0,3.32,9.0,0.42,16.0,12.0,11.0,43.0,12.0,0.0,12.0,9.0,940.0,12.0,60.0,387.0,508.0,122.0,86.0,33.7,54.7,616.0,1821.0,66.0,39.0,30.0,72.0,38.0,732.0,128.0,26.0,46.0,2.0,22.0,59.0,41.0,48.8,72,€61.3M
Joël Veltman,nl NED,Brighton,DF,33-104,19.0,19.0,1643.0,0.0,0.0,4.0,0.0,0.5,0.5,29.0,79.0,32.0,0.0,0.0,0.03,0.03,N/a,N/a,N/a,N/a,16.7,0.05,0.0,19.7,895.0,80.0,12082.0,89.8,80.6,6.0,61.0,8.0,5.0,79.0,22.0,1.21,1.0,0.05,42.0,28.0,51.0,18.0,22.0,7.0,15.0,18.0,1097.0,64.0,327.0,540.0,240.0,10.0,15.0,26.7,33.3,524.0,1414.0,29.0,22.0,3.0,19.0,7.0,598.0,32.0,26.0,42.0,0.0,23.0,67.0,21.0,53.8,72,€5.7M
Joško Gvardiol,hr CRO,Manchester City,DF,23-096,33.0,32.0,2917.0,5.0,0.0,2.0,0.0,4.4,2.0,78.0,240.0,96.0,0.15,0.0,0.13,0.06,N/a,N/a,N/a,N/a,29.7,0.34,0.14,13.0,2464.0,90.9,36418.0,94.3,93.1,25.0,225.0,19.0,1.0,240.0,69.0,2.13,7.0,0.22,51.0,34.0,37.0,33.0,39.0,19.0,20.0,36.0,2808.0,141.0,703.0,1412.0,716.0,85.0,40.0,57.5,35.0,1826.0,5505.0,78.0,91.0,13.0,24.0,16.0,2062.0,96.0,13.0,21.0,2.0,19.0,130.0,48.0,59.3,72,€78.7M
Jurriën Timber,nl NED,Arsenal,DF,23-316,30.0,27.0,2417.0,1.0,3.0,7.0,0.0,1.2,0.8,57.0,146.0,104.0,0.04,0.11,0.05,0.03,N/a,N/a,N/a,N/a,28.6,0.15,0.07,14.1,1395.0,85.6,17327.0,91.0,86.0,17.0,107.0,17.0,2.0,146.0,52.0,1.94,9.0,0.34,58.0,38.0,27.0,20.0,19.0,4.0,15.0,22.0,1661.0,51.0,304.0,859.0,505.0,66.0,53.0,45.3,45.3,890.0,2076.0,57.0,27.0,11.0,33.0,24.0,1052.0,104.0,31.0,29.0,6.0,28.0,94.0,22.0,52.4,72,€65.5M
Justin Kluivert,nl NED,Bournemouth,"MF,FW",25-359,30.0,26.0,2097.0,12.0,6.0,8.0,0.0,9.9,4.8,72.0,95.0,146.0,0.52,0.26,0.42,0.21,N/a,N/a,N/a,N/a,43.1,0.94,0.12,20.3,695.0,74.2,7951.0,83.4,76.1,45.0,40.0,32.0,6.0,95.0,94.0,4.03,11.0,0.47,21.0,9.0,20.0,25.0,24.0,0.0,24.0,13.0,969.0,23.0,93.0,327.0,569.0,115.0,82.0,40.2,47.6,576.0,2092.0,72.0,50.0,34.0,49.0,24.0,631.0,146.0,40.0,29.0,5.0,78.0,71.0,7.0,21.9,72,€44.8M
